"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2024-09-07T16:41:53.507Z,N/A,N/A,"DKB - TAEKWONDO",false,France,N/A,1756875376,"library / songs",2024-09-07T16:41:53.507Z,NATURAL_END_OF_TRACK,2024-09-07T16:44:08.587Z,2024-09-07T16:46:24.580Z,2024-09-07T16:41:53.507Z,135080,135080,135080,AUDIO,0,1,0,135080
2024-09-07T16:38:24.714Z,N/A,N/A,"BTS - Life Goes On",false,France,N/A,1596532189,"library / songs",2024-09-07T16:38:24.714Z,NATURAL_END_OF_TRACK,2024-09-07T16:41:52.861Z,2024-09-07T16:46:24.580Z,2024-09-07T16:38:24.714Z,208147,208147,208147,AUDIO,0,1,0,208147
2024-09-07T16:34:55.310Z,N/A,N/A,"TOMORROW X TOGETHER - Drama",false,France,N/A,1553522122,"library / songs",2024-09-07T16:34:55.310Z,NATURAL_END_OF_TRACK,2024-09-07T16:38:24.873Z,2024-09-07T16:46:24.580Z,2024-09-07T16:34:55.310Z,209563,209563,209563,AUDIO,0,1,0,209563
2024-09-07T16:31:14.412Z,N/A,N/A,"TWICE - Talk that Talk",false,France,N/A,1635656417,"library / songs",2024-09-07T16:31:14.412Z,NATURAL_END_OF_TRACK,2024-09-07T16:34:11.934Z,2024-09-07T16:36:24.762Z,2024-09-07T16:31:14.412Z,177522,177522,177522,AUDIO,0,1,0,177522
2024-09-07T16:26:42.433Z,N/A,N/A,"BTS - Spring Day",false,France,N/A,1627574950,"library / songs",2024-09-07T16:26:42.433Z,NATURAL_END_OF_TRACK,2024-09-07T16:31:17.184Z,2024-09-07T16:31:17.243Z,2024-09-07T16:26:42.433Z,274751,274751,274751,AUDIO,0,1,0,274751
2024-09-07T16:22:37.508Z,N/A,N/A,"SEVENTEEN - Network Love",false,France,N/A,1551739808,"library / songs",2024-09-07T16:22:37.508Z,NATURAL_END_OF_TRACK,2024-09-07T16:26:28.881Z,2024-09-07T16:26:29.052Z,2024-09-07T16:24:12.412Z,209973,136469,209973,AUDIO,0,1,0,209973
2024-09-07T16:18:23.199Z,N/A,N/A,"BTS - Heartbeat",false,France,N/A,1694730685,"library / songs",2024-09-07T16:18:23.199Z,NATURAL_END_OF_TRACK,2024-09-07T16:22:36.502Z,2024-09-07T16:22:36.612Z,2024-09-07T16:18:23.199Z,253303,253303,253303,AUDIO,0,1,0,253303
2024-09-07T16:14:57.420Z,N/A,N/A,"YUGYEOM - Ponytail (feat. Sik-K)",false,France,N/A,1731286022,"library / songs",2024-09-07T16:14:57.420Z,NATURAL_END_OF_TRACK,2024-09-07T16:18:22.874Z,2024-09-07T16:18:22.982Z,2024-09-07T16:14:57.420Z,205454,205454,205454,AUDIO,0,1,0,205454
2024-09-07T16:11:38.182Z,N/A,N/A,"Juju B. Goode - Superwoman",false,France,N/A,1599925099,"library / songs",2024-09-07T16:11:38.182Z,NATURAL_END_OF_TRACK,2024-09-07T16:14:57.788Z,2024-09-07T16:14:57.852Z,2024-09-07T16:11:38.182Z,199606,199606,199606,AUDIO,0,1,0,199606
2024-09-07T16:08:05.788Z,N/A,N/A,"THE BOYZ - Square one",false,France,N/A,1754071706,"library / songs",2024-09-07T16:08:05.788Z,NATURAL_END_OF_TRACK,2024-09-07T16:11:38.148Z,2024-09-07T16:11:38.244Z,2024-09-07T16:08:05.788Z,212360,212360,212360,AUDIO,0,1,0,212360
